dia,hora,altura
01, 03:59, 0.50
01, 09:18, 5.84
01, 16:00, 0.88
01, 21:19, 5.75
02, 04:39, 0.36
02, 09:55, 5.95
02, 16:47, 0.80
02, 22:04, 5.87
03, 05:20, 0.33
03, 10:34, 5.99
03, 17:36, 0.78
03, 22:51, 5.87
04, 06:02, 0.40
04, 11:16, 5.94
04, 18:26, 0.82
04, 23:41, 5.74
05, 06:46, 0.60
05, 12:01, 5.79
05, 19:20, 0.94
06, 00:35, 5.48
06, 07:34, 0.89
06, 12:51, 5.54
06, 20:17, 1.11
07, 01:38, 5.14
07, 08:27, 1.23
07, 13:49, 5.25
07, 21:20, 1.31
08, 02:57, 4.85
08, 09:28, 1.55
08, 15:00, 4.99
08, 22:33, 1.44
09, 04:23, 4.74
09, 10:38, 1.76
09, 16:16, 4.85
09, 23:55, 1.41
10, 05:38, 4.83
10, 11:51, 1.78
10, 17:26, 4.84
11, 01:10, 1.22
11, 06:38, 5.03
11, 12:58, 1.65
11, 18:24, 4.91
12, 02:08, 1.00
12, 07:25, 5.24
12, 13:53, 1.47
12, 19:15, 5.02
13, 02:54, 0.87
13, 08:06, 5.42
13, 14:39, 1.33
13, 20:00, 5.13
14, 03:33, 0.82
14, 08:44, 5.54
14, 15:20, 1.24
14, 20:42, 5.24
15, 04:06, 0.85
15, 09:20, 5.62
15, 15:58, 1.20
15, 21:23, 5.33
16, 04:35, 0.92
16, 09:55, 5.63
16, 16:35, 1.20
16, 22:04, 5.38
17, 05:03, 1.00
17, 10:29, 5.59
17, 17:13, 1.24
17, 22:43, 5.35
18, 05:32, 1.11
18, 11:03, 5.49
18, 17:51, 1.33
18, 23:23, 5.24
19, 06:01, 1.25
19, 11:35, 5.33
19, 18:30, 1.47
20, 00:03, 5.03
20, 06:34, 1.43
20, 12:07, 5.14
20, 19:11, 1.64
21, 00:45, 4.75
21, 07:11, 1.65
21, 12:42, 4.92
21, 19:55, 1.83
22, 01:40, 4.46
22, 07:55, 1.88
22, 13:27, 4.70
22, 20:46, 2.01
23, 02:58, 4.26
23, 08:51, 2.07
23, 14:33, 4.51
23, 21:50, 2.09
24, 04:20, 4.27
24, 09:59, 2.14
24, 15:51, 4.48
24, 23:08, 2.02
25, 05:24, 4.48
25, 11:13, 2.03
25, 16:57, 4.61
26, 00:21, 1.74
26, 06:13, 4.81
26, 12:19, 1.74
26, 17:52, 4.86
27, 01:18, 1.36
27, 06:54, 5.17
27, 13:15, 1.39
27, 18:40, 5.17
28, 02:04, 0.97
28, 07:31, 5.51
28, 14:05, 1.07
28, 19:27, 5.48
29, 02:46, 0.65
29, 08:08, 5.80
29, 14:52, 0.82
29, 20:13, 5.75
30, 03:28, 0.43
30, 08:46, 6.00
30, 15:40, 0.66
30, 20:59, 5.93
31, 04:10, 0.32
31, 09:26, 6.10
31, 16:29, 0.59
31, 21:46, 6.01
